"qry_transcript_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","ref_gene_id","qry_gene_id","ref_gene_name","gene_annotation","ref_transcript_id","ref_transcript_name","class_code"
"TU32161",1089.05903439764,-18.8256991907268,7.04943763840125,0.000106983506261295,0.00371486022011541,"LOC111511748","G18309","tubulin beta chain-like","refseq","XM_023167779.1","tubulin beta chain-like","j"
"TU38569",2503.19924266072,1.6311847168857,0.632873462718904,1.73337077468813e-05,0.000876408620523181,"LOC111514202","G22292","uncharacterized LOC111514202","refseq","XM_023170441.1","uncharacterized LOC111514202","o"
"TU4610",243.832682554423,1.80713185801928,0.948861685384022,6.087015076775e-05,0.00240397838544614,"LOC111517404","G2558","uncharacterized LOC111517404","refseq","XM_023173552.1","uncharacterized LOC111517404","m"
"TU39118",1223.89852518303,-0.855231602063881,0.33035331734795,0.000440513301604306,0.0111436866552727,"LOC111514421","G22636","uncharacterized LOC111514421","refseq","XM_023170661.1","uncharacterized LOC111514421","="
"TU24763",15.1464652325518,-7.89058993172742,9.21336554658496,0.00305913699977327,0.0495948322537524,NA,"G13935","* ---NA---","novel",NA,"---NA---","u"
"TU22429",623.646789846955,-21.8418940803731,3.65420167819894,1.28451691958338e-09,2.95770244586805e-07,"LOC111507959","G12616","arp2/3 complex-activating protein rickA-like","refseq","XM_023163352.1","arp2/3 complex-activating protein rickA-like, transcript variant X2","="
"TU21889",40.5363954697769,-17.8892568641935,5.10218531555188,2.79361323344947e-05,0.00129696558948352,"LOC111507762","G12290","sphingosine kinase 2-like","refseq","XM_023163108.1","sphingosine kinase 2-like, transcript variant X2","="
"TU34903",3520.71194665944,-1.14751761353958,0.534904335976945,0.000291464652470278,0.00816961265739578,"LOC111512794","G19984","protein PAT1 homolog 1","refseq","XM_023168953.1","protein PAT1 homolog 1","j"
"TU34904",12918.9487354001,-0.777285007852946,0.411849071290271,0.00290937546534408,0.0478626382524708,"LOC111512793","G19985","uncharacterized LOC111512793","refseq","XM_023168952.1","uncharacterized LOC111512793","="
"TU8286",986.751019433071,-0.794596101753639,0.359275751904546,0.00144701225204697,0.0280375884778844,"LOC111502430","G4604","GRAM domain-containing protein 1B-like","refseq","XM_023156508.1","GRAM domain-containing protein 1B-like","y"
"TU15507",95.1386154497817,-27.5935907674503,6.00436742290135,1.18905560653112e-06,9.26199480723418e-05,"LOC111505318","G8754","activin receptor type-2A","refseq","XM_023160097.1","activin receptor type-2A, transcript variant X1","j"
"TU15504",1451.65639008024,-23.9083796441044,3.34889442147672,4.79463263358567e-13,2.46740869616714e-10,"LOC111505318","G8754","activin receptor type-2A","refseq","XM_023160097.1","activin receptor type-2A, transcript variant X1","o"
"TU18158",5662.99483311902,-0.655044019721016,0.263861560761849,0.00162567252132763,0.030697598887801,"LOC111506298","G10199","enhancer of mRNA-decapping protein 3","refseq","XM_023161328.1","enhancer of mRNA-decapping protein 3","j"
"TU26055",303.367628580831,-19.5968777458356,2.6787968859713,1.6393706746273e-13,9.93176577327203e-11,"LOC111509362","G14707","single-minded homolog 1","refseq","XM_023165087.1","single-minded homolog 1","="
"TU45247",1293.8928908566,-1.0970541086371,0.512717289702237,0.000369831265839813,0.00969908264688532,"LOC111517045","G26954","exportin-2-like","refseq","XM_023173100.1","exportin-2-like","="
"TU42230",63.3112368882634,-21.9036115273408,7.08884933050695,5.44338293860825e-05,0.00220582801476501,"LOC111515711","G24714","putative DNA helicase Ino80","refseq","XM_023171917.1","putative DNA helicase Ino80","j"
"TU17273",11.3795103698509,-8.23093109807182,2.23024720947155,1.03388442589081e-05,0.000573063123304823,"LOC111506001","G9751","acyl-CoA synthetase short-chain family member 3","refseq","XM_023160915.1","acyl-CoA synthetase short-chain family member 3, mitochondrial, transcript variant X2","x"
"TU43543",78.8619159510899,-8.11747992020341,9.2572691597044,0.0028774838174364,0.0474797137335592,"LOC111516258","G25641","uncharacterized LOC111516258","refseq","XM_023172436.1","uncharacterized LOC111516258","j"
"TU41613",1276.39624607465,-0.726973827816194,0.341825041107319,0.00246225041280315,0.0423867453927353,"LOC111515462","G24290","GATA zinc finger domain-containing protein 10-like","refseq","XM_023171685.1","GATA zinc finger domain-containing protein 10-like","c"
"TU7070",2512.0677234613,-0.595846258000713,0.203705573693578,0.00067150450973523,0.0155121562733926,"LOC111501944","G3931","DDB1- and CUL4-associated factor 11","refseq","XM_023155877.1","DDB1- and CUL4-associated factor 11","k"
"TU44872",82.313416911871,-17.4043714794754,7.22984840321268,0.000158231146157931,0.00506576029583459,"LOC111516860","G26661","protein polybromo-1-like","refseq","XM_023172963.1","protein polybromo-1-like","j"
"TU6859",119.149830092064,0.936128526044925,0.703295569264742,0.00225745832699471,0.0398026633175511,"LOC111501847","G3789","cell division cycle-associated 7-like protein","refseq","XM_023155760.1","cell division cycle-associated 7-like protein","="
"TU41856",197.554607157204,-27.5935565173944,6.00441441887802,1.18924968029357e-06,9.26199480723418e-05,"LOC111515557","G24460","uncharacterized LOC111515557","refseq","XM_023171775.1","uncharacterized LOC111515557","j"
"TU32835",116.715249333073,3.29851302718292,2.01659981573003,0.000103043412511471,0.00360726748445328,"LOC111512034","G18748","zinc finger protein 84-like","refseq","XM_023168125.1","zinc finger protein 84-like","o"
"TU28649",39479.2644126077,-6.73487305576552,4.58554828625304,0.000438150237409349,0.0110984634660393,"LOC111510333","G16196","cuticle protein 64-like","refseq","XM_023166234.1","cuticle protein 64-like, transcript variant X1","="
"TU36820",737.458280488565,-1.15712255960737,0.508911894350265,0.000214304415895628,0.00644225028376179,"LOC111513530","G21170","E3 ubiquitin-protein ligase RNF19B-like","refseq","XM_023169749.1","E3 ubiquitin-protein ligase RNF19B-like","c"
"TU7814",24.1953204289113,-20.388156811508,7.72764110106983,0.000110857446992253,0.00381503888498406,"LOC111502247","G4349","cuticle protein-like","refseq","XM_023156263.1","cuticle protein-like","="
"TU40024",1140.51329587441,-20.9979211752756,2.75943580575627,1.64737954371645e-14,1.27035054423654e-11,"LOC111514804","G23214","DNA repair protein complementing XP-C cells homolog","refseq","XM_023171045.1","DNA repair protein complementing XP-C cells homolog, transcript variant X2","="
"TU26294",2730.07844100483,22.3688108985889,2.50770612263015,2.61552857239991e-19,5.93540360388492e-16,"LOC111509459","G14832","uncharacterized LOC111509459","refseq","XM_023165219.1","uncharacterized LOC111509459","j"
"TU8951",130.717519045101,24.7296589930277,5.270360457643,9.64240495758802e-07,8.75685579300832e-05,"LOC111502719","G5009","zinc finger and BTB domain-containing protein 24-like","refseq","XM_023156863.1","zinc finger and BTB domain-containing protein 24-like, transcript variant X1","="
"TU8953",59.8096155201163,-16.9976576493698,9.00116574562677,0.000354633457736456,0.00940925002239133,"LOC111502719","G5009","zinc finger and BTB domain-containing protein 24-like","refseq","XM_023156864.1","zinc finger and BTB domain-containing protein 24-like, transcript variant X2","j"
"TU8955",216.189691133482,21.8851985759001,3.25448844738226,1.00204278543469e-11,3.82740659173264e-09,"LOC111502719","G5009","zinc finger and BTB domain-containing protein 24-like","refseq","XM_023156864.1","zinc finger and BTB domain-containing protein 24-like, transcript variant X2","j"
"TU8956",305.122983959573,-20.8539950816541,4.7577580095273,3.47753142405837e-06,0.000223966957057302,"LOC111502719","G5009","zinc finger and BTB domain-containing protein 24-like","refseq","XM_023156863.1","zinc finger and BTB domain-containing protein 24-like, transcript variant X1","j"
"TU27639",6754.31132803626,-0.948463597006435,0.413428130736517,0.000547883209004355,0.0132018978369582,"LOC111509964","G15607","calcium-transporting ATPase type 2C member 1","refseq","XM_023165826.1","calcium-transporting ATPase type 2C member 1","c"
"TU36126",329.805799818169,-15.9078071629445,8.30479342620642,0.000337555537785832,0.00911281843016223,"LOC111513268","G20748","probable RNA-directed DNA polymerase from transposon BS","refseq","XM_023169450.1","probable RNA-directed DNA polymerase from transposon BS","j"
"TU36120",227.931808269511,24.1393227396922,5.10798371265572,8.67435567299174e-07,8.36598232881688e-05,"LOC111513266","G20744","cytochrome P450 6k1-like","refseq","XM_023169448.1","cytochrome P450 6k1-like","j"
"TU12154",1407.96148563252,-1.96344683743478,1.09211216592468,6.42139018801766e-05,0.00250733188940633,"LOC111503959","G6796","clavesin-1-like","refseq","XM_023158409.1","clavesin-1-like, transcript variant X1","k"
"TU21387",25.1054671203761,0.896162880410954,0.641254456724773,0.00263608101738455,0.0446813416031025,"LOC111507548","G12009","double-stranded RNA-binding protein Staufen homolog","refseq","XM_023162876.1","double-stranded RNA-binding protein Staufen homolog, transcript variant X3","i"
"TU27523",9.07235420906315,-1.40313635473171,1.90580110090165,0.00233840845672619,0.0408935273996297,"LOC111509921","G15532","uncharacterized LOC111509921","refseq","XM_023165781.1","uncharacterized LOC111509921","="
"TU19169",177.124401078149,16.6739300466052,9.06171013115274,0.000383964649792194,0.00997480690887761,"LOC111506666","G10757","uncharacterized LOC111506666","refseq","XM_023161797.1","uncharacterized LOC111506666","j"
"TU19167",323.67033441474,-21.9273001932795,3.6522913611385,1.08682944041957e-09,2.63696265110101e-07,"LOC111506666","G10757","uncharacterized LOC111506666","refseq","XM_023161797.1","uncharacterized LOC111506666","j"
"TU15313",2403.19989496787,-25.3613539858885,4.5267660913299,9.60119444051749e-09,1.66446029897516e-06,"LOC111505241","G8642","zinc finger RNA-binding protein-like","refseq","XM_023160016.1","zinc finger RNA-binding protein-like, transcript variant X1","j"
"TU15310",1443.94029351525,0.83708150591631,0.40321911582208,0.0015142562165965,0.0290921196831972,"LOC111505241","G8641","zinc finger RNA-binding protein-like","refseq","XM_023160017.1","zinc finger RNA-binding protein-like, transcript variant X2","j"
"TU15317",8028.24862425289,-0.636841339805259,0.220054641166763,0.000602882971929376,0.0142425102823585,"LOC111505238","G8643","programmed cell death 6-interacting protein","refseq","XM_023160012.1","programmed cell death 6-interacting protein","c"
"TU42804",416.269287460988,-1.00612240341923,0.493007921461502,0.000684386130128566,0.0157142177152827,NA,"G25099","* dual specificity protein kinase splB-like ","novel","XP_023024108","dual specificity protein kinase splB-like isoform X1","u"
"TU842",375.730694807915,-19.7102929504645,7.99645526684125,0.000144429541526785,0.00469006974159958,"LOC111502462","G436","30S ribosomal protein S11","refseq","XM_023156548.1","30S ribosomal protein S11","j"
"TU18340",15.8360284322879,24.0553003954205,6.38445233951806,1.52362937039337e-05,0.000784760665567898,NA,"G10296","* probable ubiquitin carboxyl-terminal hydrolase FAF-X","novel","KAG5895508","probable ubiquitin carboxyl-terminal hydrolase FAF-X","u"
"TU28715",11.0990501472488,-12.7117806198013,9.79863835387393,0.00103753434665706,0.0216473769742218,"LOC111510368","G16240","SUN domain-containing protein 2-like","refseq","XM_023166277.1","SUN domain-containing protein 2-like, transcript variant X1","j"
"TU14444",2345.04903443013,0.60704258371684,0.225295694075331,0.00120324734689885,0.0243285514405994,"LOC111504893","G8121","probable ATP-dependent RNA helicase pitchoune","refseq","XM_023159604.1","probable ATP-dependent RNA helicase pitchoune","c"
"TU11548",37.6829680711078,22.9822601337669,6.60378141966371,2.75364189187374e-05,0.00128306376512651,"LOC111503709","G6442","ralA-binding protein 1-like","refseq","XM_023158081.1","ralA-binding protein 1-like","j"
"TU7383",55.25861902445,1.05396000159789,1.18523005997802,0.00234192871035661,0.0409365318478194,"LOC111502064","G4111","juvenile hormone acid O-methyltransferase-like","refseq","XM_023156029.1","juvenile hormone acid O-methyltransferase-like","p"
"TU7382",366.186625589238,0.983701310717283,1.16511338801149,0.00297384898033158,0.0485917602554984,"LOC111502064","G4111","juvenile hormone acid O-methyltransferase-like","refseq","XM_023156029.1","juvenile hormone acid O-methyltransferase-like","y"
"TU7385",163.090522059581,1.01038757534435,0.522321045059363,0.000805526113044542,0.0178390277778601,"LOC111502060","G4113","probable protein S-acyltransferase 23","refseq","XM_023156024.1","probable protein S-acyltransferase 23","c"
"TU14999",375.81799625008,20.6901793936124,7.48501369409086,9.1553108239776e-05,0.00328552168341775,"LOC111505116","G8453","translation factor GUF1 homolog","refseq","XM_023159871.1","translation factor GUF1 homolog, mitochondrial","k"
"TU6264",2079.17006699789,-1.05113414415825,0.488017480259021,0.000445204437127842,0.0112255534480509,"LOC111518131","G3456","zinc finger protein 99-like","refseq","XM_023174486.1","zinc finger protein 99-like","="
"TU43730",24.8723415519388,-9.49674050776695,1.924412959433,4.52749876581524e-07,4.82491291126023e-05,NA,"G25784","* peroxidase-like","novel","XP_023023759","peroxidase-like","u"
"TU2543",871.262537599881,-0.845391830785117,0.341821791152566,0.00061686925524024,0.0145107208101573,"LOC111509492","G1360","serine/arginine repetitive matrix protein 1","refseq","XM_023165290.1","serine/arginine repetitive matrix protein 1, transcript variant X6","j"
"TU44287",62.4247622004411,0.800188716418618,0.437633056804809,0.00281876967744302,0.046811234014807,"LOC111516601","G26220","uncharacterized LOC111516601","refseq","XM_023172749.1","uncharacterized LOC111516601","j"
"TU44284",7781.14539819152,-1.64752272470416,0.52143432653956,3.04358189068715e-06,0.000200367409861654,"LOC111516600","G26217","glycogen-binding subunit 76A-like","refseq","XM_023172748.1","glycogen-binding subunit 76A-like","j"
"TU34232",4.86621063380551,16.5678265361172,9.07467519910431,0.000393178993676614,0.0101662595295284,"LOC111512540","G19564","uncharacterized LOC111512540","refseq","XR_002723085.1","uncharacterized LOC111512540","x"
"TU3191",180.52061913071,-3.698353951534,2.1336223609969,9.25527021433783e-05,0.0033090807630095,"LOC111512783","G1719","calcium release-activated calcium channel protein 1-like","refseq","XM_023168972.1","calcium release-activated calcium channel protein 1-like, transcript variant X5","k"
"TU3194",51.1922232055253,17.5887604954555,8.7257273517353,0.00028898588267031,0.00811980872662434,"LOC111512773","G1720","MORN repeat-containing protein 3-like","refseq","XM_023168928.1","MORN repeat-containing protein 3-like","j"
"TU8360",47.956416673253,8.80689344882961,6.29097848255586,0.000669992248497839,0.0154957799535669,NA,"G4652","* hypothetical protein JTB14_012796","novel","KAG5900123","hypothetical protein JTB14_012796","r"
"TU22909",2825.67994788223,-0.749494136489093,0.35368040966863,0.00221791826147826,0.0393211630015204,"LOC111508148","G12889","zinc finger protein OZF-like","refseq","XM_023163572.1","zinc finger protein OZF-like","="
"TU39503",19791.6137806402,26.6445561609802,5.91656983950253,1.78097000920102e-06,0.000126298273924553,"LOC111514586","G22875","cell surface glycoprotein 1-like","refseq","XM_023170845.1","cell surface glycoprotein 1-like","j"
"TU23053",7929.49148850992,-6.80649192150497,1.39738160622065,3.47379088554439e-07,3.78564702775513e-05,"LOC111508210","G12974","cytosolic beta-glucosidase-like","refseq","XM_023163648.1","cytosolic beta-glucosidase-like","="
"TU23059",86.5836217425385,-7.63177883753021,2.10127461297934,1.00215890674751e-05,0.000559497631034811,"LOC111508210","G12979","cytosolic beta-glucosidase-like","refseq","XM_023163648.1","cytosolic beta-glucosidase-like","i"
